13:30:13.607 [ApplicationImpl pooled thread 249] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:30:46.533 [ApplicationImpl pooled thread 249] INFO  c.b.l.BrowserStackRunExtension - testng
13:30:46.533 [ApplicationImpl pooled thread 249] INFO  com.browserstack.utils.Helpers - null
13:30:46.534 [ApplicationImpl pooled thread 249] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:32:30.397 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - testng
13:32:30.397 [ApplicationImpl pooled thread 253] INFO  com.browserstack.utils.Helpers - null
13:32:30.398 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:40:46.474 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - testng
13:40:46.474 [ApplicationImpl pooled thread 259] INFO  com.browserstack.utils.Helpers - null
13:40:46.475 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:48.037 [ApplicationImpl pooled thread 266] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:48.038 [ApplicationImpl pooled thread 266] INFO  com.browserstack.utils.Helpers - null
13:45:48.039 [ApplicationImpl pooled thread 266] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:59:33.654 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - testng
13:59:33.654 [ApplicationImpl pooled thread 271] INFO  com.browserstack.utils.Helpers - null
13:59:33.654 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:00:16.749 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - testng
14:00:16.749 [ApplicationImpl pooled thread 271] INFO  com.browserstack.utils.Helpers - null
14:00:16.750 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:00:54.538 [ApplicationImpl pooled thread 275] INFO  c.b.l.BrowserStackRunExtension - testng
14:00:54.538 [ApplicationImpl pooled thread 275] INFO  com.browserstack.utils.Helpers - null
14:00:54.539 [ApplicationImpl pooled thread 275] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:06:11.305 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - testng
14:06:11.305 [ApplicationImpl pooled thread 271] INFO  com.browserstack.utils.Helpers - null
14:06:11.305 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:07:10.004 [ApplicationImpl pooled thread 284] INFO  c.b.l.BrowserStackRunExtension - testng
14:07:10.004 [ApplicationImpl pooled thread 284] INFO  com.browserstack.utils.Helpers - null
14:07:10.005 [ApplicationImpl pooled thread 284] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:52:19.457 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - testng
14:52:19.457 [ApplicationImpl pooled thread 295] INFO  com.browserstack.utils.Helpers - null
14:52:19.458 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:53:26.016 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - testng
14:53:26.016 [ApplicationImpl pooled thread 295] INFO  com.browserstack.utils.Helpers - null
14:53:26.017 [ApplicationImpl pooled thread 295] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:00:05.171 [ApplicationImpl pooled thread 300] INFO  c.b.l.BrowserStackRunExtension - testng
15:00:05.171 [ApplicationImpl pooled thread 300] INFO  com.browserstack.utils.Helpers - null
